,time,title,company,location,job-link,company-link
40,4 days ago,Architect,Maa Althahab,Egypt,https://eg.linkedin.com/jobs/view/architect-at-maa-althahab-3879674323?position=41&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=BqiQI6Wu5qDoShixupo0NA%3D%3D&trk=public_jobs_jserp-result_search-card,https://tr.linkedin.com/company/maa-althahab?trk=public_jobs_jserp-result_job-search-card-subtitle
41,1 month ago,Senior Graphic Designer,Chain Reaction,"Qesm 2nd New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/senior-graphic-designer-at-chain-reaction-3847197319?position=42&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=8X5fMkYUOVI5rGZVWToGcA%3D%3D&trk=public_jobs_jserp-result_search-card,https://ae.linkedin.com/company/chain-reaction-digital-services?trk=public_jobs_jserp-result_job-search-card-subtitle
42,2 weeks ago,Art Director,AKQA,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/art-director-at-akqa-3670231696?position=43&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=%2FlrikFaK4zvj%2BoSCKYT7vA%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/akqa?trk=public_jobs_jserp-result_job-search-card-subtitle
43,2 weeks ago,Storyboard Artist,Athar animation studio,"Alexandria, Egypt",no link,no link
44,2 weeks ago,Email Lifecycle Associate,Project Growth,Egypt,https://eg.linkedin.com/jobs/view/email-lifecycle-associate-at-project-growth-3866886823?position=45&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=y9yZ%2B135ZqEM072EildSMA%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/our-project-growth?trk=public_jobs_jserp-result_job-search-card-subtitle
45,2 weeks ago,Health Club Receptionist,Marriott International,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/health-club-receptionist-at-marriott-international-3840994543?position=46&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=yKh7CO8pQO%2FMyoE7qDDJ4Q%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle
46,1 month ago,Senior Creative Copywriter,Chain Reaction,"Qesm 2nd New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/senior-creative-copywriter-at-chain-reaction-3847032297?position=47&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=yxk%2BOH7j%2FcIfOpPmhW3ALQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://ae.linkedin.com/company/chain-reaction-digital-services?trk=public_jobs_jserp-result_job-search-card-subtitle
47,1 week ago,Senior Procurement Specialist,Lafarge Egypt,"New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/senior-procurement-specialist-at-lafarge-egypt-3866945221?position=48&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=RkfgeraT36hgavT%2B31NIQg%3D%3D&trk=public_jobs_jserp-result_search-card,https://eg.linkedin.com/company/lafargeegypt?trk=public_jobs_jserp-result_job-search-card-subtitle
48,4 days ago,EG - Social Media Manager - Jumia (Full Time),Jumia Group,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/eg-social-media-manager-jumia-full-time-at-jumia-group-3879665052?position=49&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=S88uWvhh1CuDIExpm%2Bd%2BXQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://ng.linkedin.com/company/jumia-group?trk=public_jobs_jserp-result_job-search-card-subtitle
49,1 week ago,Part time Teacher,Algorithmics Alexandria - Raml,"Alexandria, Alexandria, Egypt",https://eg.linkedin.com/jobs/view/part-time-teacher-at-algorithmics-alexandria-raml-3827284836?position=50&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=DR1uS%2FM6pUXGI7V%2BZpySFw%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/algorithmics-alexandria-raml?trk=public_jobs_jserp-result_job-search-card-subtitle
50,3 days ago,Student Life Manager,Antal International,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/student-life-manager-at-antal-international-3883952644?position=51&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=OiFBQzkXy1FxZCpbs5ValQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://uk.linkedin.com/company/antal-international?trk=public_jobs_jserp-result_job-search-card-subtitle
